timestep,tpm,final_tpm,final_nopm
1,0,348441,151645
2,113442,348441,151645
3,331920,348441,151645
4,433986,348441,151645
5,315852,348441,151645
6,441054,348441,151645
7,468492,348441,151645
8,378744,348441,151645
9,408294,348441,151645
10,403002,348441,151645
11,297318,348441,151645
12,386010,348441,151645
13,348774,348441,151645
14,336228,348441,151645
15,478044,348441,151645
16,423186,348441,151645
17,262134,348441,151645
18,338880,348441,151645
19,359940,348441,151645
20,296040,348441,151645
21,451830,348441,151645
22,354834,348441,151645
23,280296,348441,151645
24,438312,348441,151645
25,346962,348441,151645
26,283350,348441,151645
27,296946,348441,151645
28,277704,348441,151645
29,402498,348441,151645
30,339060,348441,151645
31,341796,348441,151645
