timestep,tpm,final_tpm,final_nopm
1,0,259061,112712
2,62100,259061,112712
3,258270,259061,112712
4,312510,259061,112712
5,226962,259061,112712
6,276750,259061,112712
7,205446,259061,112712
8,208020,259061,112712
9,228504,259061,112712
10,262644,259061,112712
11,245886,259061,112712
12,304614,259061,112712
13,249546,259061,112712
14,236238,259061,112712
15,224802,259061,112712
16,214440,259061,112712
17,221274,259061,112712
18,300192,259061,112712
19,293256,259061,112712
20,282210,259061,112712
21,255900,259061,112712
22,260088,259061,112712
23,273954,259061,112712
24,253728,259061,112712
25,288468,259061,112712
26,385650,259061,112712
27,232410,259061,112712
28,233238,259061,112712
29,183330,259061,112712
30,279834,259061,112712
31,266496,259061,112712
32,268158,259061,112712
