timestep,tpm,final_tpm,final_nopm
1,0,149255,65121
2,128946,149255,65121
3,154044,149255,65121
4,152172,149255,65121
5,96756,149255,65121
6,109098,149255,65121
7,137598,149255,65121
8,126216,149255,65121
9,131490,149255,65121
10,129588,149255,65121
11,132576,149255,65121
12,169998,149255,65121
13,202134,149255,65121
14,166062,149255,65121
15,125724,149255,65121
16,117918,149255,65121
17,124098,149255,65121
18,164154,149255,65121
19,138930,149255,65121
20,154278,149255,65121
21,137394,149255,65121
22,144954,149255,65121
23,141924,149255,65121
24,175200,149255,65121
25,159186,149255,65121
26,172272,149255,65121
27,142566,149255,65121
28,191634,149255,65121
29,137202,149255,65121
30,136476,149255,65121
31,177624,149255,65121
