timestep,tpm,final_tpm,final_nopm
1,0,59747,25928
2,30774,59747,25928
3,59004,59747,25928
4,55596,59747,25928
5,61026,59747,25928
6,52362,59747,25928
7,59208,59747,25928
8,62046,59747,25928
9,60096,59747,25928
10,60678,59747,25928
11,60864,59747,25928
12,56472,59747,25928
13,61038,59747,25928
14,62106,59747,25928
15,57036,59747,25928
16,58926,59747,25928
17,62856,59747,25928
18,59310,59747,25928
19,60030,59747,25928
20,60348,59747,25928
21,58044,59747,25928
22,59364,59747,25928
23,61224,59747,25928
24,59220,59747,25928
25,60318,59747,25928
26,62700,59747,25928
27,54576,59747,25928
28,55284,59747,25928
29,61278,59747,25928
30,58038,59747,25928
31,67260,59747,25928
32,57096,59747,25928
33,38190,59747,25928
