timestep,tpm,final_tpm,final_nopm
1,0,112722,48661
2,64890,112722,48661
3,115926,112722,48661
4,120240,112722,48661
5,92502,112722,48661
6,125478,112722,48661
7,120798,112722,48661
8,111426,112722,48661
9,116010,112722,48661
10,110646,112722,48661
11,107484,112722,48661
12,110970,112722,48661
13,121506,112722,48661
14,113274,112722,48661
15,111894,112722,48661
16,116190,112722,48661
17,111942,112722,48661
18,108822,112722,48661
19,118188,112722,48661
20,117552,112722,48661
21,105060,112722,48661
22,118056,112722,48661
23,104760,112722,48661
24,101628,112722,48661
25,114372,112722,48661
26,131064,112722,48661
27,119646,112722,48661
28,101634,112722,48661
29,118506,112722,48661
30,116046,112722,48661
31,101658,112722,48661
32,107064,112722,48661
