timestep,tpm,final_tpm,final_nopm
1,0,99444,42807
2,52878,99444,42807
3,102276,99444,42807
4,103896,99444,42807
5,102108,99444,42807
6,104028,99444,42807
7,100890,99444,42807
8,97416,99444,42807
9,104124,99444,42807
10,101682,99444,42807
11,97392,99444,42807
12,104562,99444,42807
13,98796,99444,42807
14,93894,99444,42807
15,97704,99444,42807
16,101838,99444,42807
17,99732,99444,42807
18,107880,99444,42807
19,103512,99444,42807
20,101634,99444,42807
21,101892,99444,42807
22,103338,99444,42807
23,91740,99444,42807
24,100968,99444,42807
25,100926,99444,42807
26,92958,99444,42807
27,97932,99444,42807
28,98340,99444,42807
29,95628,99444,42807
30,103236,99444,42807
31,98772,99444,42807
32,99774,99444,42807
33,96990,99444,42807
