timestep,tpm,final_tpm,final_nopm
1,0,117763,50643
2,62844,117763,50643
3,93936,117763,50643
4,112680,117763,50643
5,113736,117763,50643
6,115278,117763,50643
7,117384,117763,50643
8,110034,117763,50643
9,123894,117763,50643
10,118884,117763,50643
11,111924,117763,50643
12,116250,117763,50643
13,126852,117763,50643
14,114354,117763,50643
15,120534,117763,50643
16,125064,117763,50643
17,114090,117763,50643
18,118092,117763,50643
19,124806,117763,50643
20,110478,117763,50643
21,127662,117763,50643
22,125184,117763,50643
23,111138,117763,50643
24,107826,117763,50643
25,120948,117763,50643
26,119772,117763,50643
27,109494,117763,50643
28,117420,117763,50643
29,120468,117763,50643
30,113328,117763,50643
31,120342,117763,50643
32,125682,117763,50643
