timestep,tpm,final_tpm,final_nopm
1,0,115020,49515
2,57402,115020,49515
3,114606,115020,49515
4,115200,115020,49515
5,99210,115020,49515
6,113124,115020,49515
7,113082,115020,49515
8,110508,115020,49515
9,113418,115020,49515
10,118590,115020,49515
11,108840,115020,49515
12,111012,115020,49515
13,119994,115020,49515
14,109446,115020,49515
15,107070,115020,49515
16,122136,115020,49515
17,114114,115020,49515
18,110880,115020,49515
19,120666,115020,49515
20,114222,115020,49515
21,112308,115020,49515
22,123180,115020,49515
23,121662,115020,49515
24,103698,115020,49515
25,123960,115020,49515
26,114282,115020,49515
27,105468,115020,49515
28,116706,115020,49515
29,118176,115020,49515
30,116844,115020,49515
31,118380,115020,49515
32,104196,115020,49515
