timestep,tpm,final_tpm,final_nopm
1,0,105553,45334
2,64698,105553,45334
3,102162,105553,45334
4,110562,105553,45334
5,104814,105553,45334
6,106770,105553,45334
7,110706,105553,45334
8,113388,105553,45334
9,89928,105553,45334
10,110034,105553,45334
11,114672,105553,45334
12,81324,105553,45334
13,99852,105553,45334
14,110844,105553,45334
15,100146,105553,45334
16,102000,105553,45334
17,107448,105553,45334
18,95442,105553,45334
19,107460,105553,45334
20,111066,105553,45334
21,98196,105553,45334
22,103032,105553,45334
23,111234,105553,45334
24,104682,105553,45334
25,106320,105553,45334
26,111150,105553,45334
27,106302,105553,45334
28,108000,105553,45334
29,113298,105553,45334
30,98232,105553,45334
31,107376,105553,45334
