timestep,tpm,final_tpm,final_nopm
1,0,119719,51535
2,72822,119719,51535
3,126390,119719,51535
4,123288,119719,51535
5,135012,119719,51535
6,115350,119719,51535
7,129762,119719,51535
8,130176,119719,51535
9,125922,119719,51535
10,125862,119719,51535
11,122160,119719,51535
12,123636,119719,51535
13,125202,119719,51535
14,124644,119719,51535
15,127740,119719,51535
16,112494,119719,51535
17,120420,119719,51535
18,121230,119719,51535
19,112686,119719,51535
20,125580,119719,51535
21,130236,119719,51535
22,129174,119719,51535
23,129924,119719,51535
24,117216,119719,51535
25,105582,119719,51535
26,123408,119719,51535
27,120078,119719,51535
28,110046,119719,51535
29,115752,119719,51535
30,116838,119719,51535
31,113862,119719,51535
32,107808,119719,51535
