timestep,tpm,final_tpm,final_nopm
1,0,101952,43866
2,49380,101952,43866
3,106374,101952,43866
4,110346,101952,43866
5,103170,101952,43866
6,113340,101952,43866
7,107562,101952,43866
8,96408,101952,43866
9,105240,101952,43866
10,106932,101952,43866
11,97320,101952,43866
12,106350,101952,43866
13,99546,101952,43866
14,96018,101952,43866
15,106656,101952,43866
16,107808,101952,43866
17,98952,101952,43866
18,106224,101952,43866
19,101700,101952,43866
20,94890,101952,43866
21,104430,101952,43866
22,106452,101952,43866
23,101982,101952,43866
24,107742,101952,43866
25,102228,101952,43866
26,98574,101952,43866
27,98802,101952,43866
28,104016,101952,43866
29,97098,101952,43866
30,99732,101952,43866
31,104538,101952,43866
32,102108,101952,43866
