timestep,tpm,final_tpm,final_nopm
1,0,93365,40311
2,108066,93365,40311
3,118698,93365,40311
4,93138,93365,40311
5,116586,93365,40311
6,90978,93365,40311
7,101982,93365,40311
8,97710,93365,40311
9,89658,93365,40311
10,115536,93365,40311
11,92340,93365,40311
12,94212,93365,40311
13,89364,93365,40311
14,99972,93365,40311
15,85584,93365,40311
16,110358,93365,40311
17,96816,93365,40311
18,86424,93365,40311
19,111480,93365,40311
20,105780,93365,40311
21,89676,93365,40311
22,96780,93365,40311
23,104148,93365,40311
24,85758,93365,40311
25,95208,93365,40311
26,99558,93365,40311
27,90882,93365,40311
28,53184,93365,40311
29,87582,93365,40311
30,82602,93365,40311
31,103326,93365,40311
