timestep,tpm,final_tpm,final_nopm
1,0,118106,50874
2,68592,118106,50874
3,126336,118106,50874
4,115938,118106,50874
5,120426,118106,50874
6,119700,118106,50874
7,115140,118106,50874
8,122754,118106,50874
9,111354,118106,50874
10,112842,118106,50874
11,120282,118106,50874
12,118638,118106,50874
13,112248,118106,50874
14,122040,118106,50874
15,118794,118106,50874
16,112686,118106,50874
17,122430,118106,50874
18,120264,118106,50874
19,112644,118106,50874
20,113952,118106,50874
21,125412,118106,50874
22,117288,118106,50874
23,115746,118106,50874
24,121650,118106,50874
25,115782,118106,50874
26,114864,118106,50874
27,119304,118106,50874
28,112272,118106,50874
29,122514,118106,50874
30,118686,118106,50874
31,122088,118106,50874
32,109632,118106,50874
