timestep,tpm,final_tpm,final_nopm
1,0,103931,44752
2,59424,103931,44752
3,105414,103931,44752
4,115032,103931,44752
5,110868,103931,44752
6,108978,103931,44752
7,105168,103931,44752
8,97650,103931,44752
9,108252,103931,44752
10,107454,103931,44752
11,107436,103931,44752
12,104586,103931,44752
13,104586,103931,44752
14,99924,103931,44752
15,104892,103931,44752
16,105816,103931,44752
17,108852,103931,44752
18,107310,103931,44752
19,104136,103931,44752
20,98868,103931,44752
21,103806,103931,44752
22,105408,103931,44752
23,96552,103931,44752
24,110694,103931,44752
25,100878,103931,44752
26,99846,103931,44752
27,103800,103931,44752
28,105456,103931,44752
29,103254,103931,44752
30,106296,103931,44752
31,105120,103931,44752
32,96504,103931,44752
