timestep,tpm,final_tpm,final_nopm
1,0,98064,42386
2,95376,98064,42386
3,109620,98064,42386
4,106824,98064,42386
5,103602,98064,42386
6,101322,98064,42386
7,106140,98064,42386
8,98286,98064,42386
9,106800,98064,42386
10,104106,98064,42386
11,102492,98064,42386
12,97080,98064,42386
13,102498,98064,42386
14,97776,98064,42386
15,98226,98064,42386
16,99594,98064,42386
17,95202,98064,42386
18,98394,98064,42386
19,100020,98064,42386
20,95694,98064,42386
21,101538,98064,42386
22,101850,98064,42386
23,89694,98064,42386
24,97284,98064,42386
25,102774,98064,42386
26,95280,98064,42386
27,98928,98064,42386
28,100416,98064,42386
29,96030,98064,42386
30,99402,98064,42386
31,99606,98064,42386
