timestep,tpm,final_tpm,final_nopm
1,0,97273,41857
2,105234,97273,41857
3,122112,97273,41857
4,95304,97273,41857
5,97128,97273,41857
6,93666,97273,41857
7,99174,97273,41857
8,98538,97273,41857
9,97356,97273,41857
10,98334,97273,41857
11,94500,97273,41857
12,91278,97273,41857
13,105774,97273,41857
14,98310,97273,41857
15,95448,97273,41857
16,97212,97273,41857
17,99402,97273,41857
18,97596,97273,41857
19,95436,97273,41857
20,100500,97273,41857
21,99726,97273,41857
22,97584,97273,41857
23,96996,97273,41857
24,98040,97273,41857
25,100584,97273,41857
26,94308,97273,41857
27,99708,97273,41857
28,98820,97273,41857
29,98316,97273,41857
30,90108,97273,41857
31,94386,97273,41857
