timestep,tpm,final_tpm,final_nopm
1,0,99540,42731
2,92190,99540,42731
3,100326,99540,42731
4,100662,99540,42731
5,97572,99540,42731
6,101520,99540,42731
7,105294,99540,42731
8,99780,99540,42731
9,103872,99540,42731
10,102684,99540,42731
11,99144,99540,42731
12,103158,99540,42731
13,103458,99540,42731
14,101484,99540,42731
15,102264,99540,42731
16,104814,99540,42731
17,97992,99540,42731
18,100806,99540,42731
19,105726,99540,42731
20,92304,99540,42731
21,88386,99540,42731
22,101058,99540,42731
23,95076,99540,42731
24,99222,99540,42731
25,99348,99540,42731
26,94476,99540,42731
27,96858,99540,42731
28,100056,99540,42731
29,100128,99540,42731
30,109116,99540,42731
31,104532,99540,42731
