timestep,tpm,final_tpm,final_nopm
1,0,27660,11888
2,27270,27660,11888
3,30564,27660,11888
4,26394,27660,11888
5,28854,27660,11888
6,31428,27660,11888
7,27012,27660,11888
8,25038,27660,11888
9,30390,27660,11888
10,32232,27660,11888
11,31644,27660,11888
12,24798,27660,11888
13,28506,27660,11888
14,26520,27660,11888
15,25074,27660,11888
16,28830,27660,11888
17,23508,27660,11888
18,29382,27660,11888
19,31188,27660,11888
20,27774,27660,11888
21,31728,27660,11888
22,26982,27660,11888
23,26094,27660,11888
24,27444,27660,11888
25,31062,27660,11888
26,29178,27660,11888
27,27594,27660,11888
28,29430,27660,11888
29,28614,27660,11888
30,28734,27660,11888
31,25608,27660,11888
32,18246,27660,11888
33,26586,27660,11888
34,29652,27660,11888
35,28758,27660,11888
36,25668,27660,11888
37,25116,27660,11888
38,30156,27660,11888
39,30816,27660,11888
40,31680,27660,11888
41,26010,27660,11888
42,27870,27660,11888
43,25956,27660,11888
44,30498,27660,11888
45,28746,27660,11888
46,27528,27660,11888
47,27786,27660,11888
48,25500,27660,11888
49,27162,27660,11888
50,27396,27660,11888
51,30084,27660,11888
52,29286,27660,11888
53,29166,27660,11888
54,24144,27660,11888
55,27666,27660,11888
56,29034,27660,11888
57,23052,27660,11888
58,26688,27660,11888
59,31002,27660,11888
60,26646,27660,11888
61,27444,27660,11888
62,27816,27660,11888
