filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu10_wh10_mc200_bp512M_lb16_run5.log,2,Medium,30119,12953,62,"[0, 41364, 37242, 40116, 46038, 19134, 63462, 33024, 41430, 47202, 28644, 56388, 31830, 44826, 34404, 38892, 51342, 27030, 49548, 28230, 47166, 23148, 36774, 34506, 47376, 28812, 50652, 29202, 56274, 29658, 50082, 18912, 50886, 17622, 54822, 28482, 49482, 31140, 41970, 45174, 28602, 48006, 27294, 46578, 28302, 54858, 23736, 48222, 28230, 30486, 29070, 22560, 33168, 22512, 23946, 39462, 16446, 39942, 27972, 21294, 37470, 18966]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run1.log,3,Large,41125,18070,89,"[0, 37686, 30840, 30102, 31992, 23310, 23472, 28800, 27792, 35928, 38592, 41640, 43602, 46920, 43872, 50178, 56118, 44304, 41436, 52842, 50844, 59550, 60864, 65112, 61416, 68034, 72078, 73848, 74100, 53022, 72132, 75186, 66834, 55536, 56484, 62400, 63306, 59994, 68046, 66480, 61572, 51588, 64920, 55434, 46692, 51642, 38976, 42108, 59610, 52332, 64722, 62154, 52596, 67008, 58506, 61764, 64932, 66252, 65220, 54768, 64812, 62790, 64368, 64740, 53712, 42408, 36498, 30084, 29346, 31980, 22326, 23214, 28566, 25956, 35850, 39276, 41640, 40458, 48714, 43956, 48762, 57690, 45462, 40788, 49932, 50496, 58350, 59526, 67890]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run2.log,3,Large,42704,18891,68,"[0, 41364, 46068, 41136, 26298, 41244, 56460, 59574, 69708, 56514, 61164, 56760, 54630, 85092, 64344, 44670, 46380, 54096, 53304, 70638, 57732, 65346, 58506, 73332, 61062, 57630, 59826, 52236, 63552, 39690, 52056, 58908, 54426, 52212, 36348, 29910, 54552, 42360, 46752, 45816, 64152, 52860, 54582, 50904, 63216, 55290, 61752, 48246, 40380, 46464, 43470, 58350, 48336, 46584, 42558, 51096, 28224, 45492, 25332, 47940, 40704, 36126, 38832, 36822, 49518, 50142, 53100, 68844]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run3.log,3,Large,39146,17420,78,"[0, 59712, 39462, 35778, 49194, 42534, 31206, 36312, 38070, 30354, 44178, 37338, 37608, 36450, 39372, 42498, 43446, 23370, 39714, 34722, 37380, 40326, 38538, 38526, 41274, 38046, 49746, 43224, 32118, 33762, 38244, 30858, 28170, 44760, 39912, 34380, 36774, 37518, 31104, 29262, 39600, 51954, 48768, 46938, 30972, 46950, 38340, 48960, 39006, 48408, 39420, 62238, 54354, 30138, 55086, 54708, 49164, 50334, 43902, 35274, 27048, 31608, 33294, 41802, 26454, 27564, 39072, 36042, 32262, 39750, 41442, 41910, 42288, 27846, 38628, 35526, 35286, 39816]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run4.log,3,Large,43553,19142,69,"[0, 37110, 25134, 36984, 25818, 30462, 26274, 26214, 33588, 45336, 37314, 35280, 32226, 39414, 15588, 37746, 40752, 32064, 45108, 34542, 46890, 32112, 39102, 18264, 41562, 38658, 38610, 32952, 37722, 24972, 29886, 30978, 27504, 29778, 30660, 23352, 23700, 39750, 51324, 44496, 40362, 40590, 47214, 45930, 49938, 53904, 64290, 48078, 37398, 50826, 47394, 34416, 23214, 36858, 40032, 41214, 48036, 47190, 48210, 53856, 38952, 54600, 51084, 44694, 51972, 28314, 39468, 36264, 34890]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run5.log,3,Large,37020,16233,65,"[0, 33882, 30510, 26004, 45816, 41454, 49044, 43512, 39618, 43632, 42210, 49056, 41208, 39486, 41634, 38886, 47130, 46716, 39528, 36432, 40206, 40236, 43452, 47316, 40806, 40086, 49422, 42294, 42660, 35754, 32388, 40338, 14730, 59748, 43260, 47526, 46914, 48276, 46332, 49386, 45894, 49656, 41616, 35136, 42462, 38082, 44136, 53196, 43992, 31920, 48444, 37368, 30762, 33300, 37614, 23244, 32790, 35616, 48150, 34212, 35802, 29778, 25128, 39222, 48654]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run1.log,5,I/O Test,26661,11673,63,"[0, 16194, 26064, 26916, 30816, 32886, 29076, 31932, 23052, 25962, 22536, 28824, 30828, 23058, 34566, 26562, 28740, 25716, 27144, 24852, 23826, 28770, 28980, 25674, 21708, 27432, 30630, 24498, 27036, 28320, 25230, 23994, 10404, 31134, 27834, 21324, 28086, 22470, 34746, 22638, 28224, 24516, 31572, 29544, 18018, 31302, 28314, 27096, 27030, 27792, 22770, 28008, 32412, 28344, 25866, 26610, 30408, 25980, 23604, 30420, 18546, 30288, 25104]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run2.log,5,I/O Test,26464,11665,63,"[0, 15726, 28470, 28734, 26700, 23442, 32082, 24912, 25500, 25752, 26670, 22884, 33444, 26364, 26418, 31926, 23598, 34890, 22848, 29922, 28932, 28440, 27372, 18642, 28890, 31110, 26880, 30042, 29736, 30774, 16176, 22494, 14142, 30816, 35094, 25650, 25020, 31434, 24690, 25938, 29988, 26676, 27846, 27576, 27744, 19836, 24810, 34188, 27522, 26766, 28200, 28260, 25476, 21594, 31896, 31590, 24564, 27024, 28812, 26970, 25626, 24846, 22158]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run3.log,5,I/O Test,25840,11329,63,"[0, 20154, 27948, 28272, 27084, 26178, 26724, 27234, 27084, 26454, 24144, 30054, 29442, 19878, 27294, 24912, 24528, 26706, 24132, 25668, 28038, 25020, 28014, 26748, 23430, 21366, 30426, 22890, 28974, 26622, 27372, 28062, 12456, 19380, 32424, 27228, 27792, 25572, 29016, 25902, 17814, 23934, 27870, 30150, 23514, 24090, 29208, 26958, 26376, 24660, 26070, 24156, 32724, 27768, 29172, 20268, 24966, 25782, 28818, 25494, 24240, 24690, 22878]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run4.log,5,I/O Test,27382,12054,63,"[0, 21774, 29544, 23742, 25944, 26106, 32040, 22776, 27072, 26652, 20562, 32328, 32286, 31398, 23418, 29154, 28284, 33090, 23256, 26916, 26706, 23322, 31110, 26424, 27606, 26454, 27972, 24534, 26322, 25164, 20760, 26046, 12480, 17946, 24972, 30528, 30240, 29664, 31500, 29874, 28476, 30498, 30054, 28638, 30948, 27186, 31650, 29430, 28482, 28782, 27822, 23016, 30246, 31518, 27294, 25350, 28140, 24546, 27654, 27240, 28626, 17574, 19170]"
