timestep,tpm,final_tpm,final_nopm
1,0,25840,11329
2,20154,25840,11329
3,27948,25840,11329
4,28272,25840,11329
5,27084,25840,11329
6,26178,25840,11329
7,26724,25840,11329
8,27234,25840,11329
9,27084,25840,11329
10,26454,25840,11329
11,24144,25840,11329
12,30054,25840,11329
13,29442,25840,11329
14,19878,25840,11329
15,27294,25840,11329
16,24912,25840,11329
17,24528,25840,11329
18,26706,25840,11329
19,24132,25840,11329
20,25668,25840,11329
21,28038,25840,11329
22,25020,25840,11329
23,28014,25840,11329
24,26748,25840,11329
25,23430,25840,11329
26,21366,25840,11329
27,30426,25840,11329
28,22890,25840,11329
29,28974,25840,11329
30,26622,25840,11329
31,27372,25840,11329
32,28062,25840,11329
33,12456,25840,11329
34,19380,25840,11329
35,32424,25840,11329
36,27228,25840,11329
37,27792,25840,11329
38,25572,25840,11329
39,29016,25840,11329
40,25902,25840,11329
41,17814,25840,11329
42,23934,25840,11329
43,27870,25840,11329
44,30150,25840,11329
45,23514,25840,11329
46,24090,25840,11329
47,29208,25840,11329
48,26958,25840,11329
49,26376,25840,11329
50,24660,25840,11329
51,26070,25840,11329
52,24156,25840,11329
53,32724,25840,11329
54,27768,25840,11329
55,29172,25840,11329
56,20268,25840,11329
57,24966,25840,11329
58,25782,25840,11329
59,28818,25840,11329
60,25494,25840,11329
61,24240,25840,11329
62,24690,25840,11329
63,22878,25840,11329
