timestep,tpm,final_tpm,final_nopm
1,0,63692,28103
2,41538,63692,28103
3,49950,63692,28103
4,80340,63692,28103
5,74604,63692,28103
6,69138,63692,28103
7,70050,63692,28103
8,64734,63692,28103
9,59394,63692,28103
10,74910,63692,28103
11,66936,63692,28103
12,59010,63692,28103
13,57096,63692,28103
14,65280,63692,28103
15,67476,63692,28103
16,66258,63692,28103
17,61020,63692,28103
18,49398,63692,28103
19,75054,63692,28103
20,71250,63692,28103
21,64770,63692,28103
22,56586,63692,28103
23,63624,63692,28103
24,55014,63692,28103
25,55008,63692,28103
26,54942,63692,28103
27,68148,63692,28103
28,63792,63692,28103
29,57552,63692,28103
30,72348,63692,28103
31,66918,63692,28103
32,43056,63692,28103
33,72654,63692,28103
34,36414,63692,28103
35,79074,63692,28103
36,66678,63692,28103
37,69360,63692,28103
38,61104,63692,28103
39,61308,63692,28103
40,62388,63692,28103
41,65586,63692,28103
42,54678,63692,28103
43,63282,63692,28103
44,65874,63692,28103
45,65934,63692,28103
46,57576,63692,28103
47,61602,63692,28103
48,63642,63692,28103
49,63870,63692,28103
50,56442,63692,28103
51,59934,63692,28103
52,67014,63692,28103
53,59814,63692,28103
54,67194,63692,28103
55,63018,63692,28103
56,67464,63692,28103
57,53226,63692,28103
58,80034,63692,28103
59,53004,63692,28103
60,69300,63692,28103
61,55896,63692,28103
62,64086,63692,28103
63,63498,63692,28103
64,61926,63692,28103
65,58812,63692,28103
