timestep,tpm,final_tpm,final_nopm
1,0,42704,18891
2,41364,42704,18891
3,46068,42704,18891
4,41136,42704,18891
5,26298,42704,18891
6,41244,42704,18891
7,56460,42704,18891
8,59574,42704,18891
9,69708,42704,18891
10,56514,42704,18891
11,61164,42704,18891
12,56760,42704,18891
13,54630,42704,18891
14,85092,42704,18891
15,64344,42704,18891
16,44670,42704,18891
17,46380,42704,18891
18,54096,42704,18891
19,53304,42704,18891
20,70638,42704,18891
21,57732,42704,18891
22,65346,42704,18891
23,58506,42704,18891
24,73332,42704,18891
25,61062,42704,18891
26,57630,42704,18891
27,59826,42704,18891
28,52236,42704,18891
29,63552,42704,18891
30,39690,42704,18891
31,52056,42704,18891
32,58908,42704,18891
33,54426,42704,18891
34,52212,42704,18891
35,36348,42704,18891
36,29910,42704,18891
37,54552,42704,18891
38,42360,42704,18891
39,46752,42704,18891
40,45816,42704,18891
41,64152,42704,18891
42,52860,42704,18891
43,54582,42704,18891
44,50904,42704,18891
45,63216,42704,18891
46,55290,42704,18891
47,61752,42704,18891
48,48246,42704,18891
49,40380,42704,18891
50,46464,42704,18891
51,43470,42704,18891
52,58350,42704,18891
53,48336,42704,18891
54,46584,42704,18891
55,42558,42704,18891
56,51096,42704,18891
57,28224,42704,18891
58,45492,42704,18891
59,25332,42704,18891
60,47940,42704,18891
61,40704,42704,18891
62,36126,42704,18891
63,38832,42704,18891
64,36822,42704,18891
65,49518,42704,18891
66,50142,42704,18891
67,53100,42704,18891
68,68844,42704,18891
