timestep,tpm,final_tpm,final_nopm
1,0,313781,136300
2,128820,313781,136300
3,246768,313781,136300
4,311064,313781,136300
5,314538,313781,136300
6,287040,313781,136300
7,246378,313781,136300
8,315162,313781,136300
9,331842,313781,136300
10,349692,313781,136300
11,396198,313781,136300
12,254814,313781,136300
13,303774,313781,136300
14,267840,313781,136300
15,327384,313781,136300
16,409560,313781,136300
17,316326,313781,136300
18,286308,313781,136300
19,266976,313781,136300
20,271038,313781,136300
21,283758,313781,136300
22,362028,313781,136300
23,332802,313781,136300
24,263010,313781,136300
25,309342,313781,136300
26,293964,313781,136300
27,332964,313781,136300
28,407658,313781,136300
29,349668,313781,136300
30,292122,313781,136300
31,293244,313781,136300
