timestep,tpm,final_tpm,final_nopm
1,0,196583,85743
2,82296,196583,85743
3,175692,196583,85743
4,159852,196583,85743
5,164334,196583,85743
6,236964,196583,85743
7,255240,196583,85743
8,170358,196583,85743
9,131220,196583,85743
10,151836,196583,85743
11,181092,196583,85743
12,162852,196583,85743
13,146778,196583,85743
14,174834,196583,85743
15,261834,196583,85743
16,250278,196583,85743
17,161382,196583,85743
18,132126,196583,85743
19,174324,196583,85743
20,178350,196583,85743
21,215166,196583,85743
22,174690,196583,85743
23,227568,196583,85743
24,228648,196583,85743
25,242838,196583,85743
26,193332,196583,85743
27,134826,196583,85743
28,218298,196583,85743
29,177240,196583,85743
30,210930,196583,85743
31,185694,196583,85743
