timestep,tpm,final_tpm,final_nopm
1,0,205307,89216
2,54708,205307,89216
3,165492,205307,89216
4,166686,205307,89216
5,187830,205307,89216
6,188502,205307,89216
7,205926,205307,89216
8,137148,205307,89216
9,182646,205307,89216
10,191244,205307,89216
11,210270,205307,89216
12,215988,205307,89216
13,173454,205307,89216
14,237732,205307,89216
15,264534,205307,89216
16,178704,205307,89216
17,211530,205307,89216
18,220746,205307,89216
19,202392,205307,89216
20,233436,205307,89216
21,226722,205307,89216
22,213552,205307,89216
23,207108,205307,89216
24,129156,205307,89216
25,192090,205307,89216
26,163404,205307,89216
27,166230,205307,89216
28,211176,205307,89216
29,220812,205307,89216
30,208128,205307,89216
31,219480,205307,89216
32,188532,205307,89216
