filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
pg_vu100_wh50_mc1000_sb8GB_wb128_run2.log,85,Stress5 - Best PostgreSQL,191214,82938,32,"[0, 108168, 213342, 269028, 343050, 224106, 180468, 283518, 132552, 243420, 259002, 176118, 223230, 224088, 210852, 180594, 231228, 230754, 283992, 232068, 127044, 167370, 130218, 124314, 192240, 287856, 111810, 266448, 121986, 121008, 200646, 202086]"
pg_vu100_wh50_mc1000_sb8GB_wb128_run3.log,85,Stress5 - Best PostgreSQL,217270,94576,32,"[0, 108102, 290490, 279606, 168114, 122640, 146442, 183834, 275040, 159330, 244296, 142062, 220242, 251700, 191100, 230346, 256902, 251424, 207510, 197028, 136758, 199260, 136890, 265308, 209364, 187404, 231684, 203340, 291498, 233448, 235488, 231144]"
pg_vu100_wh50_mc1000_sb8GB_wb128_run4.log,85,Stress5 - Best PostgreSQL,190787,83242,31,"[0, 67134, 195672, 230634, 233040, 112950, 165792, 134808, 220554, 158568, 204834, 192300, 141684, 167196, 150096, 206334, 257958, 145092, 228264, 166812, 156762, 243540, 161412, 184056, 154260, 137550, 175938, 244068, 209538, 192378, 253320]"
pg_vu100_wh50_mc1000_sb8GB_wb128_run5.log,85,Stress5 - Best PostgreSQL,191617,83094,32,"[0, 127950, 199842, 159462, 204168, 125166, 166206, 197406, 203148, 116124, 212166, 143598, 213078, 268158, 157920, 162432, 156078, 258114, 276384, 170364, 159168, 120048, 211992, 227340, 207450, 203286, 131652, 193908, 183600, 131238, 241296, 261216]"
pg_vu150_wh50_mc1000_sb4GB_wb128_run1.log,83,Stress3 - Best PostgreSQL,315666,137591,32,"[0, 99450, 260508, 306324, 391356, 253638, 254610, 313494, 356880, 393666, 265170, 330672, 424176, 378462, 335706, 292680, 320580, 309444, 346866, 359058, 288624, 266922, 273222, 310476, 373302, 384000, 241890, 204012, 255288, 365658, 384444, 339792]"
pg_vu150_wh50_mc1000_sb4GB_wb128_run2.log,83,Stress3 - Best PostgreSQL,273209,118454,32,"[0, 102768, 239742, 343674, 338634, 461442, 334488, 250986, 261312, 339702, 370344, 339090, 235056, 262068, 267990, 292716, 305184, 264432, 235656, 223464, 250698, 283818, 340380, 330504, 190434, 279780, 279900, 305754, 299628, 281730, 224544, 246594]"
pg_vu150_wh50_mc1000_sb4GB_wb128_run3.log,83,Stress3 - Best PostgreSQL,238967,103720,32,"[0, 103626, 169482, 173766, 160992, 218976, 193092, 231216, 195654, 196692, 197598, 209742, 246930, 288798, 305364, 210378, 233406, 235200, 270792, 267540, 250260, 199062, 189570, 243996, 232134, 245502, 295944, 233382, 187554, 205134, 218082, 245736]"
pg_vu150_wh50_mc1000_sb4GB_wb128_run4.log,83,Stress3 - Best PostgreSQL,248311,107917,32,"[0, 105318, 223758, 269706, 264846, 323580, 316980, 228594, 208278, 211860, 263802, 258294, 222630, 237726, 274788, 203058, 217524, 282990, 294270, 257820, 232764, 219912, 259716, 311820, 260580, 270756, 177702, 237726, 217980, 241146, 284544, 209304]"
pg_vu150_wh50_mc1000_sb4GB_wb128_run5.log,83,Stress3 - Best PostgreSQL,222811,96735,32,"[0, 94974, 228990, 261858, 253272, 255510, 251862, 246708, 224106, 232146, 201078, 222420, 242142, 249372, 227316, 253134, 177918, 179820, 170904, 266874, 290580, 233208, 262254, 159678, 166452, 205764, 189042, 220626, 211560, 254382, 300774, 192618]"
pg_vu200_wh50_mc1000_sb4GB_wb128_run1.log,84,Stress4 - Best PostgreSQL,293484,127729,32,"[0, 120840, 260946, 335202, 379890, 418026, 310860, 266970, 297348, 317556, 335016, 311442, 365442, 174528, 243780, 290706, 378018, 298794, 350904, 271062, 262164, 371382, 316128, 303684, 184752, 279570, 349752, 348372, 314844, 314994, 222780, 279930]"
pg_vu200_wh50_mc1000_sb4GB_wb128_run2.log,84,Stress4 - Best PostgreSQL,237386,103057,33,"[0, 87768, 269454, 374640, 338592, 288162, 224982, 288144, 284490, 321546, 298836, 233628, 258876, 264666, 309666, 262734, 289830, 216672, 204510, 198240, 259440, 218376, 296628, 221328, 210402, 195726, 251574, 220770, 234708, 237540, 185910, 170244, 254244]"
pg_vu200_wh50_mc1000_sb4GB_wb128_run3.log,84,Stress4 - Best PostgreSQL,229245,99857,33,"[0, 110082, 303462, 281250, 190572, 237174, 253314, 282432, 258090, 277686, 258960, 171780, 143178, 231108, 256926, 225360, 298830, 298500, 173898, 181116, 197388, 208626, 255048, 224286, 207654, 192036, 221124, 215172, 245112, 234042, 280308, 185694, 198474]"
pg_vu200_wh50_mc1000_sb4GB_wb128_run4.log,84,Stress4 - Best PostgreSQL,178188,77438,32,"[0, 93840, 257748, 175746, 190248, 231486, 250896, 219744, 185946, 146832, 143784, 170694, 186096, 169638, 190404, 165390, 121164, 130452, 151152, 184062, 208368, 228942, 172614, 211902, 150384, 162762, 213948, 178056, 191202, 208896, 177126, 186786]"
pg_vu200_wh50_mc1000_sb4GB_wb128_run5.log,84,Stress4 - Best PostgreSQL,178324,77345,33,"[0, 84888, 227886, 269232, 261450, 247836, 253848, 265854, 194952, 208260, 207696, 204912, 199260, 154764, 136410, 165378, 152358, 149736, 223992, 198756, 204618, 218706, 158478, 129444, 157470, 190650, 166848, 223890, 209694, 227292, 154098, 134478, 237024]"
