timestep,tpm,final_tpm,final_nopm
1,0,96247,41630
2,65460,96247,41630
3,116766,96247,41630
4,113652,96247,41630
5,49626,96247,41630
6,111192,96247,41630
7,88734,96247,41630
8,148056,96247,41630
9,90030,96247,41630
10,161856,96247,41630
11,150744,96247,41630
12,191886,96247,41630
13,129942,96247,41630
14,47868,96247,41630
15,41148,96247,41630
16,65928,96247,41630
17,101874,96247,41630
18,130872,96247,41630
19,159558,96247,41630
20,166062,96247,41630
21,186018,96247,41630
22,137172,96247,41630
23,144720,96247,41630
24,27696,96247,41630
25,64104,96247,41630
26,83070,96247,41630
27,98868,96247,41630
28,47982,96247,41630
29,75288,96247,41630
30,109104,96247,41630
31,48252,96247,41630
