timestep,tpm,final_tpm,final_nopm
1,0,50961,22165
2,45408,50961,22165
3,76104,50961,22165
4,59802,50961,22165
5,28146,50961,22165
6,118800,50961,22165
7,29310,50961,22165
8,57366,50961,22165
9,109896,50961,22165
10,27624,50961,22165
11,47604,50961,22165
12,88002,50961,22165
13,37428,50961,22165
14,52800,50961,22165
15,17748,50961,22165
16,26994,50961,22165
17,78648,50961,22165
18,29970,50961,22165
19,45324,50961,22165
20,52350,50961,22165
21,20670,50961,22165
22,88656,50961,22165
23,19650,50961,22165
24,28602,50961,22165
25,68580,50961,22165
26,44466,50961,22165
27,137544,50961,22165
28,19374,50961,22165
29,38946,50961,22165
30,116412,50961,22165
31,30570,50961,22165
32,47256,50961,22165
