timestep,tpm,final_tpm,final_nopm
1,0,91863,39941
2,165924,91863,39941
3,104460,91863,39941
4,29898,91863,39941
5,107502,91863,39941
6,51960,91863,39941
7,58764,91863,39941
8,126972,91863,39941
9,85050,91863,39941
10,107064,91863,39941
11,96018,91863,39941
12,78738,91863,39941
13,73662,91863,39941
14,76692,91863,39941
15,57192,91863,39941
16,61584,91863,39941
17,60744,91863,39941
18,113244,91863,39941
19,67866,91863,39941
20,122898,91863,39941
21,119748,91863,39941
22,153612,91863,39941
23,100542,91863,39941
24,62712,91863,39941
25,117186,91863,39941
26,73572,91863,39941
27,80430,91863,39941
28,67122,91863,39941
29,136506,91863,39941
30,87948,91863,39941
31,105138,91863,39941
