timestep,tpm,final_tpm,final_nopm
1,0,77530,33709
2,153774,77530,33709
3,111702,77530,33709
4,143874,77530,33709
5,96540,77530,33709
6,116346,77530,33709
7,134166,77530,33709
8,105252,77530,33709
9,97224,77530,33709
10,71094,77530,33709
11,73104,77530,33709
12,87882,77530,33709
13,48750,77530,33709
14,53916,77530,33709
15,54732,77530,33709
16,55938,77530,33709
17,42546,77530,33709
18,66498,77530,33709
19,47214,77530,33709
20,72108,77530,33709
21,75228,77530,33709
22,101910,77530,33709
23,85902,77530,33709
24,105876,77530,33709
25,112290,77530,33709
26,79584,77530,33709
27,106668,77530,33709
28,70644,77530,33709
29,69408,77530,33709
30,115782,77530,33709
31,90882,77530,33709
