timestep,tpm,final_tpm,final_nopm
1,0,93399,40201
2,78390,93399,40201
3,95934,93399,40201
4,93276,93399,40201
5,91110,93399,40201
6,90102,93399,40201
7,102906,93399,40201
8,97908,93399,40201
9,94752,93399,40201
10,96882,93399,40201
11,98358,93399,40201
12,92544,93399,40201
13,97860,93399,40201
14,92838,93399,40201
15,95508,93399,40201
16,100764,93399,40201
17,93456,93399,40201
18,96024,93399,40201
19,96516,93399,40201
20,95340,93399,40201
21,95844,93399,40201
22,98670,93399,40201
23,98964,93399,40201
24,90090,93399,40201
25,89784,93399,40201
26,93876,93399,40201
27,78096,93399,40201
28,97374,93399,40201
29,97638,93399,40201
30,81822,93399,40201
31,91500,93399,40201
