timestep,tpm,final_tpm,final_nopm
1,0,97660,41838
2,83772,97660,41838
3,100014,97660,41838
4,109284,97660,41838
5,103782,97660,41838
6,95190,97660,41838
7,103548,97660,41838
8,101376,97660,41838
9,98946,97660,41838
10,101886,97660,41838
11,97194,97660,41838
12,91980,97660,41838
13,105006,97660,41838
14,96216,97660,41838
15,93564,97660,41838
16,102216,97660,41838
17,101454,97660,41838
18,100974,97660,41838
19,99078,97660,41838
20,103860,97660,41838
21,88428,97660,41838
22,94314,97660,41838
23,91170,97660,41838
24,96090,97660,41838
25,91740,97660,41838
26,100410,97660,41838
27,102882,97660,41838
28,108594,97660,41838
29,97770,97660,41838
30,97008,97660,41838
31,93894,97660,41838
