timestep,tpm,final_tpm,final_nopm
1,0,43776,19049
2,42468,43776,19049
3,29262,43776,19049
4,20304,43776,19049
5,39414,43776,19049
6,30018,43776,19049
7,23220,43776,19049
8,33618,43776,19049
9,34278,43776,19049
10,29082,43776,19049
11,24276,43776,19049
12,20022,43776,19049
13,47400,43776,19049
14,47376,43776,19049
15,34932,43776,19049
16,56154,43776,19049
17,43224,43776,19049
18,50394,43776,19049
19,53874,43776,19049
20,36000,43776,19049
21,40428,43776,19049
22,67206,43776,19049
23,38748,43776,19049
24,57456,43776,19049
25,53478,43776,19049
26,40614,43776,19049
27,20532,43776,19049
28,52026,43776,19049
29,41142,43776,19049
30,25506,43776,19049
31,29670,43776,19049
