timestep,tpm,final_tpm,final_nopm
1,0,58198,25718
2,23802,58198,25718
3,82512,58198,25718
4,36654,58198,25718
5,28452,58198,25718
6,72456,58198,25718
7,46428,58198,25718
8,111084,58198,25718
9,32778,58198,25718
10,44298,58198,25718
11,77010,58198,25718
12,46188,58198,25718
13,74274,58198,25718
14,34452,58198,25718
15,49968,58198,25718
16,57498,58198,25718
17,39342,58198,25718
18,69984,58198,25718
19,34596,58198,25718
20,50730,58198,25718
21,30132,58198,25718
22,83394,58198,25718
23,46566,58198,25718
24,103278,58198,25718
25,39006,58198,25718
26,32868,58198,25718
27,79026,58198,25718
28,54126,58198,25718
29,116964,58198,25718
30,43272,58198,25718
31,86472,58198,25718
32,49116,58198,25718
33,24882,58198,25718
