timestep,tpm,final_tpm,final_nopm
1,0,51598,22471
2,57078,51598,22471
3,55824,51598,22471
4,75642,51598,22471
5,33702,51598,22471
6,28158,51598,22471
7,33696,51598,22471
8,43896,51598,22471
9,20838,51598,22471
10,32586,51598,22471
11,27282,51598,22471
12,44124,51598,22471
13,43668,51598,22471
14,42858,51598,22471
15,51936,51598,22471
16,55296,51598,22471
17,68340,51598,22471
18,54798,51598,22471
19,68922,51598,22471
20,52146,51598,22471
21,44910,51598,22471
22,41898,51598,22471
23,63822,51598,22471
24,40836,51598,22471
25,79314,51598,22471
26,42324,51598,22471
27,59628,51598,22471
28,70932,51598,22471
29,45390,51598,22471
30,28794,51598,22471
31,22002,51598,22471
