timestep,tpm,final_tpm,final_nopm
1,0,42972,18803
2,101742,42972,18803
3,53826,42972,18803
4,55872,42972,18803
5,44184,42972,18803
6,41934,42972,18803
7,40386,42972,18803
8,46518,42972,18803
9,35142,42972,18803
10,74202,42972,18803
11,36942,42972,18803
12,70272,42972,18803
13,41682,42972,18803
14,38496,42972,18803
15,31674,42972,18803
16,44688,42972,18803
17,41550,42972,18803
18,38016,42972,18803
19,50574,42972,18803
20,28428,42972,18803
21,36642,42972,18803
22,30768,42972,18803
23,26346,42972,18803
24,28752,42972,18803
25,39942,42972,18803
26,69486,42972,18803
27,56736,42972,18803
28,62382,42972,18803
29,44550,42972,18803
30,63786,42972,18803
31,42876,42972,18803
