timestep,tpm,final_tpm,final_nopm
1,0,62683,27329
2,188514,62683,27329
3,69648,62683,27329
4,72840,62683,27329
5,24774,62683,27329
6,90288,62683,27329
7,38664,62683,27329
8,99222,62683,27329
9,32592,62683,27329
10,93054,62683,27329
11,42960,62683,27329
12,119526,62683,27329
13,43200,62683,27329
14,90294,62683,27329
15,60384,62683,27329
16,92292,62683,27329
17,47598,62683,27329
18,101988,62683,27329
19,33084,62683,27329
20,64962,62683,27329
21,50688,62683,27329
22,29778,62683,27329
23,68616,62683,27329
24,16434,62683,27329
25,47430,62683,27329
26,59106,62683,27329
27,100200,62683,27329
28,42378,62683,27329
29,57180,62683,27329
30,85914,62683,27329
31,109380,62683,27329
