timestep,tpm,final_tpm,final_nopm
1,0,77013,33653
2,91176,77013,33653
3,134196,77013,33653
4,168552,77013,33653
5,118452,77013,33653
6,141558,77013,33653
7,16434,77013,33653
8,41058,77013,33653
9,58716,77013,33653
10,52026,77013,33653
11,45432,77013,33653
12,93732,77013,33653
13,94086,77013,33653
14,47292,77013,33653
15,77046,77013,33653
16,93504,77013,33653
17,109290,77013,33653
18,30402,77013,33653
19,28866,77013,33653
20,55902,77013,33653
21,65904,77013,33653
22,73128,77013,33653
23,111522,77013,33653
24,125400,77013,33653
25,182670,77013,33653
26,142230,77013,33653
27,49002,77013,33653
28,47820,77013,33653
29,43758,77013,33653
30,69930,77013,33653
