timestep,tpm,final_tpm,final_nopm
1,0,93377,40476
2,107784,93377,40476
3,101988,93377,40476
4,70608,93377,40476
5,68436,93377,40476
6,111258,93377,40476
7,101472,93377,40476
8,54348,93377,40476
9,78366,93377,40476
10,100026,93377,40476
11,144966,93377,40476
12,106398,93377,40476
13,123798,93377,40476
14,124554,93377,40476
15,125184,93377,40476
16,113064,93377,40476
17,100038,93377,40476
18,93750,93377,40476
19,45066,93377,40476
20,15906,93377,40476
21,47694,93377,40476
22,73176,93377,40476
23,60534,93377,40476
24,33678,93377,40476
25,100008,93377,40476
26,131346,93377,40476
27,109242,93377,40476
28,149496,93377,40476
29,167082,93377,40476
30,106140,93377,40476
31,97356,93377,40476
