timestep,tpm,final_tpm,final_nopm
1,0,40172,17517
2,58386,40172,17517
3,26076,40172,17517
4,59382,40172,17517
5,17910,40172,17517
6,15792,40172,17517
7,42396,40172,17517
8,36282,40172,17517
9,27060,40172,17517
10,50742,40172,17517
11,16044,40172,17517
12,19164,40172,17517
13,76842,40172,17517
14,22722,40172,17517
15,31080,40172,17517
16,67194,40172,17517
17,16272,40172,17517
18,36636,40172,17517
19,66528,40172,17517
20,32082,40172,17517
21,32712,40172,17517
22,62688,40172,17517
23,26802,40172,17517
24,26904,40172,17517
25,67506,40172,17517
26,22284,40172,17517
27,27366,40172,17517
28,65208,40172,17517
29,24870,40172,17517
30,35934,40172,17517
31,60426,40172,17517
32,20592,40172,17517
33,36222,40172,17517
