timestep,tpm,final_tpm,final_nopm
1,0,329700,143346
2,165876,329700,143346
3,350742,329700,143346
4,289278,329700,143346
5,429180,329700,143346
6,452862,329700,143346
7,316542,329700,143346
8,394740,329700,143346
9,256746,329700,143346
10,410016,329700,143346
11,343410,329700,143346
12,415488,329700,143346
13,321546,329700,143346
14,417090,329700,143346
15,460074,329700,143346
16,340902,329700,143346
17,347244,329700,143346
18,249480,329700,143346
19,351810,329700,143346
20,361974,329700,143346
21,288624,329700,143346
22,311862,329700,143346
23,370560,329700,143346
24,331188,329700,143346
25,382824,329700,143346
26,444312,329700,143346
27,215844,329700,143346
28,285768,329700,143346
29,285948,329700,143346
30,295260,329700,143346
31,217014,329700,143346
