timestep,tpm,final_tpm,final_nopm
1,0,80261,34801
2,63474,80261,34801
3,86712,80261,34801
4,69582,80261,34801
5,73998,80261,34801
6,90030,80261,34801
7,80988,80261,34801
8,74094,80261,34801
9,79878,80261,34801
10,77790,80261,34801
11,81108,80261,34801
12,78534,80261,34801
13,85062,80261,34801
14,82974,80261,34801
15,82578,80261,34801
16,81468,80261,34801
17,88212,80261,34801
18,88062,80261,34801
19,83172,80261,34801
20,80676,80261,34801
21,81984,80261,34801
22,85944,80261,34801
23,81870,80261,34801
24,86784,80261,34801
25,83808,80261,34801
26,90204,80261,34801
27,81144,80261,34801
28,75216,80261,34801
29,69258,80261,34801
30,58206,80261,34801
31,63642,80261,34801
