timestep,tpm,final_tpm,final_nopm
1,0,282866,123025
2,68808,282866,123025
3,268482,282866,123025
4,265290,282866,123025
5,316560,282866,123025
6,330054,282866,123025
7,350856,282866,123025
8,294102,282866,123025
9,199254,282866,123025
10,273834,282866,123025
11,305310,282866,123025
12,349176,282866,123025
13,385410,282866,123025
14,435834,282866,123025
15,339408,282866,123025
16,236586,282866,123025
17,200274,282866,123025
18,304572,282866,123025
19,258222,282866,123025
20,337242,282866,123025
21,340128,282866,123025
22,263136,282866,123025
23,362604,282866,123025
24,228606,282866,123025
25,183888,282866,123025
26,263136,282866,123025
27,247722,282866,123025
28,281550,282866,123025
29,283050,282866,123025
30,316134,282866,123025
31,240612,282866,123025
32,236058,282866,123025
