timestep,tpm,final_tpm,final_nopm
1,0,26284,11385
2,31578,26284,11385
3,26664,26284,11385
4,26916,26284,11385
5,27606,26284,11385
6,25710,26284,11385
7,26124,26284,11385
8,25878,26284,11385
9,27984,26284,11385
10,24396,26284,11385
11,29136,26284,11385
12,25722,26284,11385
13,27726,26284,11385
14,26814,26284,11385
15,27990,26284,11385
16,24924,26284,11385
17,27744,26284,11385
18,27474,26284,11385
19,28776,26284,11385
20,25368,26284,11385
21,27966,26284,11385
22,26310,26284,11385
23,27732,26284,11385
24,25956,26284,11385
25,25188,26284,11385
26,26868,26284,11385
27,25980,26284,11385
28,25488,26284,11385
29,27516,26284,11385
30,23634,26284,11385
31,23604,26284,11385
