timestep,tpm,final_tpm,final_nopm
1,0,89971,39570
2,102162,89971,39570
3,144132,89971,39570
4,107370,89971,39570
5,97884,89971,39570
6,88950,89971,39570
7,93330,89971,39570
8,87978,89971,39570
9,86772,89971,39570
10,84858,89971,39570
11,84864,89971,39570
12,75852,89971,39570
13,91272,89971,39570
14,81870,89971,39570
15,95208,89971,39570
16,86328,89971,39570
17,93924,89971,39570
18,76950,89971,39570
19,87132,89971,39570
20,95478,89971,39570
21,92736,89971,39570
22,93996,89971,39570
23,89028,89971,39570
24,87456,89971,39570
25,86328,89971,39570
26,90006,89971,39570
27,91968,89971,39570
28,91770,89971,39570
29,85500,89971,39570
30,97716,89971,39570
31,91128,89971,39570
32,87168,89971,39570
33,27546,89971,39570
34,0,89971,39570
