filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu20_wh20_mc500_bp1G_lb32_run4.log,3,Large,80027,35191,31,"[0, 86886, 89370, 82638, 75000, 70284, 94380, 88278, 91176, 78576, 67056, 78360, 91932, 63972, 89862, 83658, 78642, 93000, 81288, 91518, 62034, 93432, 70656, 80904, 63564, 98616, 67752, 97716, 77958, 77520, 80004]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run5.log,3,Large,70137,30762,31,"[0, 84876, 71700, 82632, 58824, 84084, 61224, 88476, 82338, 66228, 73884, 71598, 74778, 57888, 79248, 64638, 68898, 66060, 77166, 64386, 84012, 69306, 72912, 48648, 90588, 68250, 81648, 81270, 59214, 77868, 54276]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run1.log,5,I/O Test,45481,20295,32,"[0, 68724, 56214, 53034, 44022, 44370, 44352, 41886, 50808, 48798, 47754, 45192, 44556, 44550, 48120, 45456, 47664, 45216, 42954, 46446, 49104, 45342, 44340, 46680, 40830, 49704, 46362, 43272, 48066, 42546, 46986, 33006]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run2.log,5,I/O Test,36597,16211,32,"[0, 27834, 40488, 38850, 38322, 40374, 39144, 38538, 40296, 34758, 38604, 38010, 40392, 40170, 41460, 33612, 41604, 40266, 41478, 33480, 36174, 38508, 33690, 38964, 35178, 35850, 39198, 27780, 38418, 37158, 31338, 34596]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run3.log,5,I/O Test,34233,15240,31,"[0, 23028, 34542, 42168, 35124, 34344, 37536, 35502, 38784, 34506, 39072, 32808, 38262, 28932, 37698, 35016, 40668, 31608, 31824, 39456, 30138, 36996, 34758, 34944, 35892, 31806, 33480, 37302, 31476, 28710, 39000]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run4.log,5,I/O Test,32992,14649,32,"[0, 22362, 38196, 32706, 11364, 34170, 41766, 40866, 32760, 34764, 32748, 34278, 32532, 34698, 35934, 35232, 34920, 33558, 31932, 36906, 31446, 31140, 32820, 29586, 31470, 33984, 30804, 32862, 33102, 38598, 29538, 28752]"
tpcc_vu20_wh5_mc200_bp256M_lb8_run5.log,5,I/O Test,30734,13656,32,"[0, 22506, 29604, 33954, 34632, 30840, 22692, 36318, 33306, 26052, 30126, 33756, 30600, 25554, 29712, 33888, 35184, 26946, 32910, 32370, 30234, 31770, 32844, 28128, 30408, 30936, 26832, 31548, 33312, 31452, 31020, 29598]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run1.log,4,Max CPU,90845,39942,32,"[0, 111318, 102576, 93600, 93210, 96678, 73608, 80430, 88704, 94362, 89610, 88134, 95172, 91674, 83178, 88842, 84342, 94734, 91902, 86832, 85032, 94332, 87024, 96882, 96576, 98262, 90318, 93936, 86340, 88182, 91716, 88866]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run2.log,4,Max CPU,83328,36597,32,"[0, 81636, 94362, 97356, 89880, 92820, 95424, 89466, 89502, 92718, 88074, 94908, 90048, 90540, 92766, 83772, 80976, 82320, 89730, 83208, 79602, 83004, 75426, 77298, 85452, 79380, 86262, 80592, 79656, 87816, 75588, 84246]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run3.log,4,Max CPU,77374,34096,32,"[0, 70944, 83982, 86070, 82866, 89250, 75000, 88164, 85488, 84414, 81366, 84696, 81378, 70236, 88386, 75864, 70836, 85110, 71844, 72312, 80832, 73878, 84048, 77370, 80376, 77190, 82422, 75552, 81120, 68916, 67998, 83694]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run4.log,4,Max CPU,73618,32370,32,"[0, 77508, 87564, 71778, 84906, 75960, 63846, 88608, 79338, 81198, 68652, 65916, 80184, 70440, 85686, 78492, 65790, 80160, 61986, 86748, 76674, 79830, 70902, 72474, 57774, 71466, 84060, 73758, 65364, 80424, 61170, 69156]"
tpcc_vu50_wh20_mc500_bp2G_lb64_run5.log,4,Max CPU,67801,29831,33,"[0, 75246, 79086, 75990, 62742, 65688, 84216, 73350, 70788, 83706, 76560, 66564, 56910, 74562, 70782, 66408, 76662, 66558, 65748, 67200, 65322, 67680, 58734, 74808, 66966, 56652, 74550, 67974, 68808, 58854, 62430, 48318, 35256]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run1.log,7,Latency,29067,12507,31,"[0, 45420, 35142, 35712, 33138, 28488, 30636, 26238, 31794, 29958, 31968, 31398, 31446, 30390, 29082, 31050, 29724, 29880, 31362, 30222, 28470, 30966, 29460, 26508, 29706, 28386, 27870, 28338, 27504, 29826, 27642]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run2.log,7,Latency,30094,13040,31,"[0, 39456, 31560, 30978, 32934, 31272, 30390, 30672, 30768, 30858, 31308, 31398, 31932, 29286, 33072, 30678, 30894, 31662, 27324, 32670, 30618, 31410, 31158, 28752, 29688, 29124, 29076, 28494, 29118, 30150, 29556]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run3.log,7,Latency,26284,11385,31,"[0, 31578, 26664, 26916, 27606, 25710, 26124, 25878, 27984, 24396, 29136, 25722, 27726, 26814, 27990, 24924, 27744, 27474, 28776, 25368, 27966, 26310, 27732, 25956, 25188, 26868, 25980, 25488, 27516, 23634, 23604]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run4.log,7,Latency,27451,11967,31,"[0, 29484, 31092, 28836, 27588, 30228, 31692, 26634, 29076, 27480, 27750, 30858, 28758, 26196, 28710, 28308, 30246, 27570, 27684, 28098, 27150, 29232, 26610, 28788, 27036, 26232, 28710, 26814, 26610, 25716, 26862]"
tpcc_vu5_wh20_mc100_bp128M_lb8_run5.log,7,Latency,26807,11608,31,"[0, 25098, 26940, 27168, 25920, 26970, 28794, 28434, 27144, 25842, 28908, 25932, 29106, 27972, 25548, 24858, 30666, 26760, 28662, 26586, 28524, 28986, 25860, 27240, 28578, 26484, 26610, 27162, 25938, 26388, 22902]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run1.log,1,Small,51914,22236,31,"[0, 52962, 64926, 57108, 58374, 51396, 51498, 53748, 54030, 54900, 54960, 49668, 62160, 54204, 51534, 51096, 52134, 53166, 49260, 50592, 53268, 55392, 49200, 52104, 52008, 52320, 55524, 50076, 51258, 54930, 53580]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run2.log,1,Small,61247,26687,31,"[0, 49848, 67662, 68652, 63948, 63300, 60762, 64980, 60150, 61068, 65238, 67788, 64266, 61848, 63528, 60474, 64626, 60732, 59358, 61794, 55692, 64494, 58440, 65802, 63894, 65046, 61086, 62994, 60642, 60276, 59376]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run3.log,1,Small,69836,30360,31,"[0, 67650, 75636, 72636, 67980, 75510, 68964, 71376, 68580, 72276, 71070, 67896, 70986, 70464, 69318, 70494, 70656, 71190, 68322, 67740, 69060, 67056, 74142, 70266, 71046, 69240, 68808, 71370, 70236, 67416, 67716]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run4.log,1,Small,54606,23526,31,"[0, 50958, 63138, 60192, 53814, 62334, 60222, 59220, 46428, 58938, 64776, 56688, 58710, 42954, 58428, 58128, 65202, 55572, 51750, 53076, 53382, 62226, 58314, 42612, 39234, 61254, 65688, 52752, 61908, 58356, 47040]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run5.log,1,Small,52463,22667,31,"[0, 51558, 56232, 47904, 54378, 60036, 48774, 55614, 50820, 58836, 59658, 46692, 55620, 56292, 50460, 56814, 51894, 51084, 47610, 64404, 55848, 48432, 55266, 49038, 55704, 56928, 51066, 45204, 61818, 46680, 43584]"
