timestep,tpm,final_tpm,final_nopm
1,0,36597,16211
2,27834,36597,16211
3,40488,36597,16211
4,38850,36597,16211
5,38322,36597,16211
6,40374,36597,16211
7,39144,36597,16211
8,38538,36597,16211
9,40296,36597,16211
10,34758,36597,16211
11,38604,36597,16211
12,38010,36597,16211
13,40392,36597,16211
14,40170,36597,16211
15,41460,36597,16211
16,33612,36597,16211
17,41604,36597,16211
18,40266,36597,16211
19,41478,36597,16211
20,33480,36597,16211
21,36174,36597,16211
22,38508,36597,16211
23,33690,36597,16211
24,38964,36597,16211
25,35178,36597,16211
26,35850,36597,16211
27,39198,36597,16211
28,27780,36597,16211
29,38418,36597,16211
30,37158,36597,16211
31,31338,36597,16211
32,34596,36597,16211
