timestep,tpm,final_tpm,final_nopm
1,0,93228,41057
2,85974,93228,41057
3,113916,93228,41057
4,99228,93228,41057
5,97206,93228,41057
6,94524,93228,41057
7,87132,93228,41057
8,89718,93228,41057
9,93168,93228,41057
10,97782,93228,41057
11,94446,93228,41057
12,92262,93228,41057
13,93390,93228,41057
14,96732,93228,41057
15,95208,93228,41057
16,92916,93228,41057
17,96888,93228,41057
18,93558,93228,41057
19,91236,93228,41057
20,95670,93228,41057
21,96396,93228,41057
22,97488,93228,41057
23,94866,93228,41057
24,91650,93228,41057
25,94482,93228,41057
26,97194,93228,41057
27,91362,93228,41057
28,90714,93228,41057
29,87900,93228,41057
30,89376,93228,41057
31,95172,93228,41057
