timestep,tpm,final_tpm,final_nopm
1,0,80027,35191
2,86886,80027,35191
3,89370,80027,35191
4,82638,80027,35191
5,75000,80027,35191
6,70284,80027,35191
7,94380,80027,35191
8,88278,80027,35191
9,91176,80027,35191
10,78576,80027,35191
11,67056,80027,35191
12,78360,80027,35191
13,91932,80027,35191
14,63972,80027,35191
15,89862,80027,35191
16,83658,80027,35191
17,78642,80027,35191
18,93000,80027,35191
19,81288,80027,35191
20,91518,80027,35191
21,62034,80027,35191
22,93432,80027,35191
23,70656,80027,35191
24,80904,80027,35191
25,63564,80027,35191
26,98616,80027,35191
27,67752,80027,35191
28,97716,80027,35191
29,77958,80027,35191
30,77520,80027,35191
31,80004,80027,35191
