timestep,tpm,final_tpm,final_nopm
1,0,118588,51171
2,73260,118588,51171
3,106224,118588,51171
4,136410,118588,51171
5,126528,118588,51171
6,116946,118588,51171
7,126198,118588,51171
8,117486,118588,51171
9,113874,118588,51171
10,129174,118588,51171
11,131118,118588,51171
12,111534,118588,51171
13,122724,118588,51171
14,132918,118588,51171
15,108600,118588,51171
16,107628,118588,51171
17,121770,118588,51171
18,114396,118588,51171
19,123900,118588,51171
20,130986,118588,51171
21,115206,118588,51171
22,124932,118588,51171
23,131886,118588,51171
24,117738,118588,51171
25,114060,118588,51171
26,117918,118588,51171
27,121326,118588,51171
28,113982,118588,51171
29,118284,118588,51171
30,114294,118588,51171
31,107598,118588,51171
32,106374,118588,51171
