timestep,tpm,final_tpm,final_nopm
1,0,101887,43851
2,103896,101887,43851
3,113178,101887,43851
4,107502,101887,43851
5,101952,101887,43851
6,98124,101887,43851
7,103386,101887,43851
8,105630,101887,43851
9,98172,101887,43851
10,105660,101887,43851
11,97602,101887,43851
12,98262,101887,43851
13,104388,101887,43851
14,101298,101887,43851
15,101094,101887,43851
16,100206,101887,43851
17,101724,101887,43851
18,98784,101887,43851
19,102606,101887,43851
20,103266,101887,43851
21,103500,101887,43851
22,100002,101887,43851
23,102510,101887,43851
24,97842,101887,43851
25,104436,101887,43851
26,105534,101887,43851
27,96366,101887,43851
28,106062,101887,43851
29,105984,101887,43851
30,99546,101887,43851
31,107406,101887,43851
