timestep,tpm,final_tpm,final_nopm
1,0,101182,43559
2,96060,101182,43559
3,111366,101182,43559
4,105666,101182,43559
5,91536,101182,43559
6,86268,101182,43559
7,103986,101182,43559
8,101898,101182,43559
9,107838,101182,43559
10,100362,101182,43559
11,95724,101182,43559
12,100998,101182,43559
13,98226,101182,43559
14,94734,101182,43559
15,100428,101182,43559
16,100722,101182,43559
17,93942,101182,43559
18,101424,101182,43559
19,99768,101182,43559
20,97266,101182,43559
21,102642,101182,43559
22,101826,101182,43559
23,100068,101182,43559
24,104598,101182,43559
25,103608,101182,43559
26,104004,101182,43559
27,106578,101182,43559
28,101478,101182,43559
29,102120,101182,43559
30,104100,101182,43559
31,104196,101182,43559
